collocation;count;count_nested;length;lambda;z
let us;22;0;2;5.56355350129021;20.77743144382977
which i;103;0;2;2.2468619983932756;20.605079825242818
once more;21;0;2;5.616734742523374;20.548190277692253
and i;207;0;2;1.5609618193502799;20.259113906638937
a very;90;0;2;2.458639609229891;19.900347315244655
i was;186;0;2;1.6156453024400825;19.879487226163633
and then;68;0;2;3.5411902217133875;19.868983151354072
by the;123;0;2;2.251301663588161;19.847521151666534
his eyes;41;0;2;4.25801159727959;19.7431627633521
at once;34;0;2;4.433950978222789;19.717595914195595
could see;30;0;2;4.014780058169302;19.604656176740267
a man;80;0;2;2.592892077324435;19.467620117343255
in his;120;0;2;1.9270246663953472;19.279049664656387
my friend;37;0;2;4.654550799654343;19.247351218797345
may be;37;0;2;3.584475814019236;19.223125476360785
did you;42;0;2;3.5269578673123503;19.063201516611713
is a;143;0;2;1.7553545218195943;19.049587721758794
am sure;18;0;2;5.977822263667667;18.960768531425806
out of;75;0;2;2.5852303392484;18.917776311955826
years ago;13;0;2;7.66167596164802;18.804918200468716
his hand;39;0;2;3.7486792802549695;18.782846590349003
very much;26;0;2;4.257746511394071;18.741485788505067
his face;40;0;2;3.600067203145541;18.708024681424227
he has;54;0;2;2.8733652179019864;18.60430944520289
we were;40;0;2;3.2263062824973114;18.571082532284755
you can;44;0;2;3.3067716315820053;18.538995387327816
was a;160;0;2;1.6039459494630872;18.515210359172816
from the;136;0;2;1.867389437242835;18.359903440542567
the door;86;0;2;3.1613202868802883;18.321616434467334
might be;30;0;2;3.881824483086012;18.26352322985591
tell me;28;0;2;4.182827062365648;18.255599733698766
know what;22;0;2;4.389249721321598;18.25556597673863
she had;50;0;2;2.8141631116189787;18.176958465865425
that it;116;0;2;1.8346909695490936;18.16160700390051
such a;51;0;2;3.4364094065863284;18.016812608860974
let me;26;0;2;4.485275194177861;17.958097095395384
he said;37;0;2;3.8126838983012763;17.942393466876574
the matter;82;0;2;3.3802834691211823;17.854415634078677
at last;29;0;2;4.021334840811233;17.803753982409415
his head;33;0;2;4.364740173105403;17.729533041903093
when he;47;0;2;2.8528027594564334;17.722069038813004
baker street;29;0;2;9.278992458253281;17.711084998065548
we are;37;0;2;3.1710070529894945;17.66036282852996
